,title,authors,genre,published_year,average_rating
3314,Tolstoy: Anna Karenina,Anthony Thorlby,Literary Criticism,1987.0,4.19
3315,Reading Greek Tragedy,Simon Goldhill;Professor of Greek Literature and Culture and Fellow and Director of Studies in Classics Simon Goldhill,Drama,1986.0,4.04
3316,Gabriel García Márquez: One Hundred Years of Solitude,Michael Wood,Language Arts & Disciplines,1990.0,4.51
3317,"Philosophical Papers: Volume 1, Human Agency and Language",Charles Taylor,Philosophy,1985.0,4.31
3318,Cicero: On Duties,Cicero;Marcus Tullius Cicero;Quintus Tullius Cicero,History,1991.0,3.95
3319,Hegel: Elements of the Philosophy of Right,Georg Wilhelm Fredrich Hegel,History,1991.0,3.86
3320,The Collapse of Complex Societies,Joseph Tainter,Social Science,1990.0,4.13
3321,The Return of Grand Theory in the Human Sciences,Quentin Skinner,History,1990.0,3.82
3322,Fitzgerald: All The Sad Young Men,F. Scott Fitzgerald,Fiction,2007.0,3.95
3323,The Rise and Fall of Anne Boleyn,Retha M. Warnicke,History,1991.0,3.95
3324,Numerical Recipes in C,William H. Press,C (Computer program language),1992.0,3.86
3325,The Invention of Tradition,"Hobsbawm, E. J. Hobsbawm;Eric Hobsbawm;Terence Ranger",History,1992.0,3.96
3326,The Myth of the Magus,E. M. Butler;Eliza Marian Butler,Religion,1993.0,3.71
3327,Nations and Nationalism Since 1780,E. J. Hobsbawm,History,1992.0,3.89
3328,The Cambridge Companion to Plotinus,Lloyd Phillip Gerson;Lloyd P. Gerson,Philosophy,1996.0,4.3
3329,Foucault's Virginity,Simon Goldhill;Professor of Greek Literature and Culture and Fellow and Director of Studies in Classics Simon Goldhill,History,1995.0,3.75
3330,Aristotle: The Politics and the Constitution of Athens,Aristotle,History,1996.0,3.94
3331,The Cambridge Companion to Jane Austen,John O. Jordan,Literary Criticism,1997.0,4.08
3332,A Midsummer Night's Dream,William Shakespeare,Drama,2003.0,3.94
3333,King Richard II,William Shakespeare;Andrew Gurr,Drama,2003.0,3.77
3334,"Hamlet, Prince of Denmark",William Shakespeare;Philip Edwards,Drama,2003.0,4.01
3335,Twelfth Night Or What You Will,William Shakespeare;Elizabeth Story Donno,Drama,2004.0,3.98
3336,Aeschylus: The Oresteia,Simon Goldhill,Drama,2004.0,4.03
3337,Nietzsche: Daybreak,Friedrich Nietzsche,Philosophy,1997.0,4.17
3338,The Tragedy of King Lear,William Shakespeare;Jay L. Halio,Drama,2005.0,3.9
3339,Hamlet,William Shakespeare,Juvenile Nonfiction,2005.0,4.01
3340,The Cambridge Companion to Schopenhauer,Christopher Janaway,Philosophy,1999.0,3.89
3341,Nietzsche: The Birth of Tragedy and Other Writings,Friedrich Nietzsche;Nietzsche Friedrich,Philosophy,1999.0,4.02
3342,Pearl S. Buck,Peter Conn;Peter J. Conn,Biography & Autobiography,1998.0,4.17
3343,Practical Philosophy,Immanuel Kant,Philosophy,1999.0,4.09
3344,The Cambridge Companion to Cervantes,Anthony J. Cascardi,Literary Criticism,2002.0,3.6
3345,Introduction to Phenomenology,Robert Sokolowski,Philosophy,2000.0,3.96
3346,Numerical Recipes Example Book (C++),William T. Vetterling,Computers,2002.0,2.75
3347,Jungle Love Level 5,Margaret Johnson,Foreign Language Study,2002.0,3.37
3348,Genres in Dialogue,Andrea Wilson Nightingale,Literary Collections,2000.0,4.33
3349,Charles Taylor,Ruth Abbey;Lecturer in Philosophy Ruth Abbey;Cambridge University Press,History,2004.0,3.6
3350,A First Course in String Theory,Barton Zwiebach,Science,2004.0,4.18
3351,Myths of the Underworld Journey,"Radcliffe G. Edmonds, III",History,2004.0,3.75
3352,Economic Origins of Dictatorship and Democracy,Daron Acemoglu;James A. Robinson,Business & Economics,2006.0,3.93
3353,Triax,Robert Silverberg,Science fiction,1977.0,3.69
3354,Boltzmon!,William Sleator,Juvenile Fiction,1999.0,3.65
3355,Three Complete Novels,Lloyd Alexander,Juvenile Fiction,2001.0,4.24
3356,"Boy, Were We Wrong about Dinosaurs!",Kathleen V. Kudlinski,Juvenile Nonfiction,2005.0,3.93
3357,The Grits (Girls Raised in the South) Guide to Life,Deborah Ford;Edie Hand,Social Science,2003.0,3.78
3358,Atlas Shrugged,Ayn Rand,Fiction,2005.0,3.68
3359,The Woods,Harlan Coben,Fiction,2007.0,4.04
3360,The Last Eyewitness,Chris Seay;David B. Capes;Brian McLaren,Bibles,2006.0,3.77
3361,Data Structures and Algorithms in C++,Adam Drozdek,Computers,2004.0,3.71
3362,Slaughterhouse Blues,Donald D. Stull;Michael J. Broadway,Social Science,2004.0,3.48
3363,The Illustrated Man,Ray Bradbury,"Science fiction, American",1952.0,4.14
3364,Strata,Terry Pratchett,English fiction,1988.0,3.49
3365,A Prayer for Owen Meany,John Irving,American fiction,1990.0,4.23
3366,A Tourist Guide to Lancre,Terry Pratchett;Stephen Briggs,Fiction,1998.0,4.06
3367,Nanny Ogg's Cookbook,Terry Pratchett;Stephen Briggs;Paul Kidby;Tina Hannan,Fiction,2001.0,4.0
3368,The Swords of Night and Day,David Gemmell,Drenai (Imaginary place),2005.0,4.31
3369,Queen of Sorcery,David Eddings,Fantasy fiction,2000.0,4.14
3370,Castle of Wizardry,David Eddings,Fantasy fiction,2000.0,4.17
3371,Not Without My Daughter,Betty Mahmoody;William Hoffer,Americans,2004.0,4.08
3372,Moving Pictures,Terry Pratchett,Discworld (Imaginary place),2005.0,3.94
3373,Reaper Man,Terry Pratchett,Discworld (Imaginary place),2005.0,4.29
3374,Lords and Ladies,Terry Pratchett,Discworld (Imaginary place),2005.0,4.17
3375,Bravo Two Zero,Andy McNab,"Persian Gulf War, 1991",2005.0,4.08
3376,Hogfather,Terry Pratchett,Christmas,2006.0,4.24
3377,Spindle's End,Robin McKinley,Children's stories,2003.0,3.8
3378,Beauty,Robin McKinley,Fairy tales,2004.0,4.05
3379,Vox,Paul Stewart;Chris Riddell,Children's stories,2006.0,4.11
3380,Past Mortem,Ben Elton,Fiction,2005.0,3.74
3381,Popcorn,Ben Elton,Criminals,2003.0,3.49
3382,Merde Actually,Stephen Clarke,British,2006.0,3.56
3383,The Hotel New Hampshire,John Irving,Fiction,1986.0,3.9
3384,בין אלקסרין,Naguib Mahfouz,Arabic fiction,1994.0,4.15
3385,The Sparrow,Mary Doria Russell,Life on other planets,1997.0,4.17
3386,Chocolat,Joanne Harris,Chocolate,1999.0,3.96
3387,Blackberry Wine,Joanne Harris,Brewing,2001.0,3.79
3388,The Short History of a Prince,Jane Hamilton,Ballet dancers,1999.0,3.64
3389,THE HOTEL NEW HAMPSHIRE,JOHN IRVING,,2010.0,3.83
3390,Chocolat. Joanne Harris,Joanne Harris,Chocolate,2000.0,3.96
3391,My Movie Business,John Irving,Cider house rules. (Motion picture),2000.0,3.33
3392,Tales of the City,Armistead Maupin,City and town life,2000.0,4.04
3393,More Tales of the City,Armistead Maupin,City and town life,2000.0,4.19
3394,Further Tales of the City,Armistead Maupin,City and town life,2000.0,4.13
3395,Sure of You,Armistead Maupin,City and town life,1991.0,4.03
3396,Five Quarters of the Orange,Joanne Harris,Cookery,2002.0,3.85
3397,The Secret Dreamworld of a Shopaholic,Sophie Kinsella,"Finance, Personal",2000.0,3.63
3398,Dead Famous,Ben Elton,Fiction,2002.0,3.64
3399,High Society,Ben Elton,Fiction,2003.0,3.77
3400,A Brief History of Time,Stephen Hawking,Cosmology,1998.0,4.16
3401,Stephen Hawking's A Brief History of Time,Stephen W. Hawking,Nature,1992.0,4.09
3402,SeinLanguage,Jerry Seinfeld,Humor,1993.0,3.63
3403,Gravity's Rainbow,Thomas Pynchon,,1974.0,4.03
3404,The Illustrated a Brief History of Time,Stephen Hawking,Science,1996.0,4.16
3405,Switch on the Night,Ray Bradbury;Leo Dillon;Diane Dillon,Juvenile Fiction,2004.0,4.09
3406,Ragtime,E. L. Doctorow,New York (State),1975.0,3.88
3407,The Greatest Salesman in the World,Og Mandino,Selling,1974.0,4.2
3408,Encyclopedia Brown and the Case of the Treasure Hunt,Donald J. Sobol,Juvenile Fiction,1989.0,4.03
3409,Chicken Trek,Stephen Manes,Contests,1989.0,4.38
3410,Jessica's Bad Idea,Jamie Suzanne;Francine Pascal,Juvenile Fiction,1989.0,3.48
3411,All Fall Down,John Saul,Fiction,1991.0,3.92
3412,The Complete Short Stories of Mark Twain,Mark Twain,Fiction,2005.0,4.28
3413,The Brothers Karamazov,Fyodor Dostoyevsky,Fiction,1970.0,4.32
3414,Sherlock Holmes the Complete Novels and Stories Book Discussion Kit,,Detective and mystery stories,2012.0,4.47
3415,The Complete Plays of Aristophanes,Aristophanes,Drama,1981.0,4.21
3416,Divine Comedy - Purgatorio,Dante Alighieri,,1988.0,4.02
3417,"Maggie, a Girl of the Streets and Other Short Fiction",Stephen Crane,Fiction,1986.0,3.32
3418,Journey To The Center Of The Earth,Jules Verne,Fiction,2006.0,3.85
3419,Slim Down Camp,Stephen Manes,Health & Fitness,1986.0,3.9
3420,Emma,Charlotte Brontë;Jane Austen,Fiction,1983.0,3.99
3421,Goodbye Forever,Barbara Conklin,Juvenile Fiction,1984.0,3.72
3422,The Broken Gun,Louis L'Amour,Fiction,1984.0,3.75
3423,From Socrates to Sartre,T. Z. Lavine,Philosophy,1984.0,3.93
3424,"First, last and always",Barbara Conklin,Fiction,1985.0,3.76
3425,Exodus,Leon Uris,Eretz Israel,1958.0,4.34
3426,Fire Watch,Connie Willis,Fiction,1998.0,3.87
3427,Magician,Raymond E. Feist,Apprentices,1985.0,4.18
3428,Forging the Darksword,Margaret Weis;Tracy Hickman,Fiction,1988.0,3.67
3429,Winter Dreams,Barbara Conklin;Stefanie Curtis,Blind,1988.0,3.83
3430,Shakespeare Alive!,Joseph Papp;Elizabeth Kirkland,Drama,1988.0,3.39
3431,The Road to Gandolfo,Robert Ludlum,Fiction,1992.0,3.64
3432,Doom of the Darksword,Margaret Weis,Fiction,1988.0,3.66
3433,The Delta Star,Joseph Wambaugh,Fiction,1984.0,3.64
3434,The House of the Spirits,Isabel Allende,Fiction,1986.0,4.22
3435,Triumph of the Darksword,Margaret Weis;Tracy Hickman,Fiction,1988.0,3.57
3436,Starting Over,Francine Pascal,Juvenile Fiction,1987.0,3.37
3437,Forbidden Love,Kate William;Francine Pascal,Juvenile Fiction,1987.0,3.33
3438,The New Jessica,Francine Pascal,Juvenile Fiction,1986.0,3.45
3439,Double Love,Francine Pascal;Kate William,Juvenile Fiction,1983.0,3.54
3440,Secrets,Francine Pascal;Kate William,Juvenile Fiction,1983.0,3.46
3441,Narcissus and Goldmund,Hermann Hesse,Fiction,1971.0,4.2
3442,Dear Sister,Kate William;Francine Pascal,Juvenile Fiction,1984.0,3.53
3443,The Angry Hills,Leon Uris,Fiction,1984.0,3.66
3444,I Know why the Caged Bird Sings,Maya Angelou,Biography & Autobiography,1993.0,4.22
3445,Alone in the Crowd,Francine Pascal,Juvenile Fiction,1986.0,3.45
3446,Mitla Pass,Leon Uris,Fiction,1989.0,3.84
3447,Creature,John Saul,Fiction,1990.0,3.84
3448,Journey of Awakening,Ram Dass;Daniel Goleman,Self-Help,1990.0,4.16
3449,Dragon Wing,Margaret Weis;Tracy Hickman,Fiction,1990.0,3.95
3450,Texas! Lucky,Sandra Brown,Fiction,1991.0,3.86
3451,22 Indigo Place,Sandra Brown,Fiction,1991.0,3.63
3452,The Wakefields of Sweet Valley,Kate William;Francine Pascal,Juvenile Fiction,1991.0,3.91
3453,Pebble in the Sky,Isaac Asimov,Fiction,1991.0,3.88
3454,Texas! Sage,Sandra Brown,Fiction,1992.0,4.02
3455,Fire Sea,Margaret Weis;Tracy Hickman,Fiction,1992.0,4.06
3456,Forbidden Knowledge,Stephen R. Donaldson,Fiction,1992.0,3.99
3457,A Whole New Light,Sandra Brown,Fiction,1992.0,3.55
3458,The Robots of Dawn,Isaac Asimov,Fiction,1994.0,4.15
3459,Lila,Robert M. Pirsig,Education,1992.0,3.78
3460,The Mind's I,Douglas R. Hofstadter;Daniel Clement Dennett,Philosophy,1982.0,4.14
3461,The Glory and the Dream,William Manchester,History,1990.0,4.42
3462,Seven Plays,Sam Shepard;Joseph Chaikin,Drama,1984.0,4.18
3463,The Sixties,Todd Gitlin,History,1993.0,3.72
3464,Feersum Endjinn,Iain Banks,Fiction,1995.0,3.82
3465,The Dog Who Loved Too Much,Nicholas H. Dodman,Pets,1997.0,4.09
3466,Girls in Pants,Ann Brashares,Juvenile Fiction,2005.0,3.82
3467,The Fairy Tales of Hermann Hesse,Hermann Hesse,Fiction,1995.0,3.99
3468,Fierce Invalids Home from Hot Climates,Tom Robbins,Fiction,2000.0,4.03
3469,A Brief History of Time,Stephen Hawking,Science,1998.0,4.16
3470,Snow Crash,Neal Stephenson,Fiction,2000.0,4.03
3471,The Diamond Age,Neal Stephenson,Fiction,2000.0,4.19
3472,Stories,Anton Pavlovich Chekhov,Fiction,2000.0,4.35
3473,The bonfire of the vanities,Tom Wolfe,Fiction,1987.0,3.84
3474,Tides of War,Steven Pressfield,Fiction,2001.0,3.89
3475,Men Who Hate Women and the Women Who Love Them,Susan Forward;Joan Torres,Family & Relationships,2002.0,4.09
3476,Beach Music,Pat Conroy,Fiction,2002.0,4.15
3477,The Prince of Tides,Pat Conroy,Fiction,2002.0,4.24
3478,A Clash of Kings,George R. R. Martin,Fiction,2002.0,4.41
3479,Last of the Amazons,Steven Pressfield,Fiction,2003.0,3.75
3480,The Shelters of Stone,Jean M. Auel,Fiction,2004.0,3.82
3481,A Wizard of Earthsea,Ursula K. Le Guin,Fiction,2004.0,4.0
3482,Interface,Neal Stephenson;Frederick George,Fiction,2005.0,3.67
3483,The Cobweb,Neal Stephenson;J. Frederick George,Fiction,2005.0,3.61
3484,Gates Of Fire,Steven Pressfield,Fiction,2005.0,4.41
3485,Odd Thomas,Dean Ray Koontz,FICTION,2006.0,3.96
3486,True Blue,Daniel Topolski;Patrick Robinson,London (England),1989.0,4.23
3487,The Celestine Prophecy,James Redfield,Manuscripts,1994.0,3.63
3488,Death of a Snob,M. C. Beaton,Fiction,1996.0,3.78
3489,Encyclopedia Brown and the Case of the Sleeping Dog,Donald J. Sobol,Juvenile Fiction,1999.0,4.04
3490,Encyclopedia Brown and the Case of the Slippery Salamander,Donald J. Sobol,Juvenile Fiction,2000.0,4.09
3491,Control Freak,Francine Pascal,Juvenile Fiction,2001.0,3.36
3492,Sweet 18,Francine Pascal,Juvenile Fiction,2003.0,3.51
3493,The Time Travelers,Caroline B. Cooney,Juvenile Fiction,2006.0,3.94
3494,Last Wish,Francine Pascal;Kate William,Sweet Valley (Imaginary place),1999.0,3.92
3495,Shadows,John Saul,Fiction,1993.0,3.92
3496,The Road to Yesterday,Lucy Maud Montgomery,Juvenile Fiction,1993.0,3.81
3497,Nightmare Asylum,Steve Perry,Fiction,1993.0,3.67
3498,A Dark and Hungry God Arises,Stephen R. Donaldson,Fiction,1993.0,4.08
3499,"Sam Walton, Made in America",Sam Walton;John Huey,Biography & Autobiography,1993.0,4.14
3500,It Doesn't Take a Hero,H. Norman Schwarzkopf;Peter Petre,Biography & Autobiography,1993.0,4.04
3501,The Hollow Man,Dan Simmons,Fiction,1993.0,3.44
3502,The Hand of Chaos,Margaret Weis,Fiction,1993.0,4.06
3503,Magician,Raymond E. Feist,Fiction,1993.0,4.26
3504,A Kiss Before Dying,Kate William;Francine Pascal,Juvenile Fiction,1996.0,3.68
3505,Adam's Fall,Sandra Brown,Fiction,1994.0,3.74
3506,I. Asimov,Isaac Asimov,Biography & Autobiography,1995.0,4.19
3507,Happily Ever After,Kate William;Francine Pascal,Juvenile Fiction,1997.0,3.6
3508,Heaven's Price,Sandra Brown,Fiction,1995.0,3.54
3509,Vice,Jane Feather,Fiction,1996.0,3.51
3510,The Rise of Endymion,Dan Simmons,Fiction,1998.0,4.17
3511,Brightness Reef,David Brin,Fiction,1996.0,3.9
3512,The Martians,Kim Stanley Robinson,Fiction,2000.0,3.56
3513,Shadows of the Empire,Steve Perry,Fiction,1997.0,3.82
3514,Ship of Destiny,Robin Hobb,Fiction,2001.0,4.22
3515,Floaters,Joseph Wambaugh,Fiction,1997.0,3.5
3516,Tidings of Great Joy,Sandra Brown,Fiction,1999.0,3.63
3517,Send No Flowers,Sandra Brown,Fiction,2000.0,3.56
3518,The Rana Look,Sandra Brown,Fiction,2003.0,3.5
3519,Sunny Chandler's Return,Sandra Brown,Fiction,2004.0,3.59
3520,The Memoirs of Elizabeth Frankenstein,Theodore Roszak,Fiction,1996.0,3.55
3521,Legacy of the Darksword,Margaret Weis;Tracy Hickman,Fiction,1998.0,3.46
3522,The Third Victim,Lisa Gardner,Fiction,2001.0,4.16
3523,Iron Fist,Aaron Allston,Fiction,1998.0,4.03
3524,Fear Nothing,Dean Ray Koontz,Fiction,1998.0,3.99
3525,Reave the Just and Other Tales,Stephen R. Donaldson,Fiction,2000.0,3.9
3526,Dune,Brian Herbert;Kevin J. Anderson,Fiction,2002.0,3.67
3527,Passage,Connie Willis,Fiction,2002.0,3.69
3528,The Truelove Bride,Shana Abé,Fiction,1999.0,3.66
3529,The Summer House,Jean Stone,Fiction,2000.0,3.87
3530,War of the Rats,David L. Robbins,Fiction,2000.0,4.11
3531,A Kiss to Remember,Teresa Medeiros,Fiction,2002.0,3.88
3532,Intimate Enemies,Shana Abe,Fiction,2000.0,3.82
3533,The Secret Swan,Shana Abé,Fiction,2001.0,3.66
3534,A Feast for Crows,George R. R. Martin,Fiction,2006.0,4.13
3535,Icebound,Dean Koontz,Fiction,2000.0,3.76
3536,Intensity,Dean Ray Koontz,Fiction,2000.0,4.04
3537,Death of a Blue Movie Star,Jeffery Deaver,Fiction,2000.0,3.52
3538,Legacy of the Dead,Charles Todd,Fiction,2001.0,4.15
3539,Watchers of Time,Charles Todd,Fiction,2002.0,3.98
3540,A Fearsome Doubt,Charles Todd,Fiction,2003.0,4.04
3541,Hard News,Jeffery Deaver,Fiction,2001.0,3.46
3542,The Face,Dean Ray Koontz,Fiction,2003.0,3.7
3543,The Taking,Dean Ray Koontz,Fiction,2005.0,3.78
3544,Alone,Lisa Gardner,Fiction,2005.0,3.97
3545,The Last Mermaid,Shana Abé,FICTION,2004.0,3.73
3546,Echo of Eternity,Maggie Furey,Fiction,2003.0,3.88
3547,Forty Signs of Rain,Kim Stanley Robinson,Fiction,2005.0,3.54
3548,The Secret on Ararat,Tim F. LaHaye;Bob Phillips,Fiction,2006.0,4.23
3549,A Cold Treachery,Charles Todd,Fiction,2005.0,4.14
3550,Industrial Magic,Kelley Armstrong,Fiction,2004.0,4.13
3551,Haunted,Kelley Armstrong,Fiction,2005.0,4.09
3552,Seventy-Seven Clocks,Christopher Fowler,Fiction,2005.0,3.89
3553,Beach Girls,Luanne Rice,Fiction,2004.0,4.06
3554,Frankenstein: City of Night: A Novel,,Horror tales,,3.97
3555,The Smoke Thief,Shana Abe,Fiction,2006.0,3.74
3556,Prince of the Blood,Raymond E. Feist,Fiction,2005.0,3.97
3557,Exit Strategy,Kelley Armstrong,Fiction,2007.0,3.88
3558,Velocity,Dean Ray Koontz,Fiction,2005.0,3.86
3559,Forever Odd,Dean Ray Koontz,Fiction,2006.0,3.97
3560,Public Secrets,Nora Roberts,Fiction,2006.0,4.02
3561,Lines and Shadows,Joseph Wambaugh,True Crime,1995.0,3.79
3562,The Universe in a Nutshell,Stephen W. Hawking;STEPHEN W AUTOR HAWKING,Science,2001.0,4.15
3563,Social Intelligence,Daniel Goleman,Psychology,2006.0,3.98
3564,"I, Robot",Isaac Asimov,Fiction,2004.0,4.19
3565,Sailing from Byzantium,Colin Wells,History,2006.0,3.87
3566,The Husband,Dean Ray Koontz,Fiction,2006.0,3.81
3567,The Dream Thief,Shana Abé,Fiction,2006.0,3.83
3568,The Devil in the White City,Erik Larson,Architecture,2004.0,3.99
3569,Nights in Rodanthe,Nicholas Sparks,Divorced people,2003.0,3.83
3570,The Sinner,Tess Gerritsen,Boston (Mass.),2004.0,4.14
3571,The Mapmaker's Wife,Robert Whitaker,Amazon River Region,2005.0,3.59
3572,Princess,Jean Sasson,English fiction,2004.0,4.02
3573,The Surgeon,Tess Gerritsen,Boston (Mass.),2005.0,4.1
3574,The Apprentice,Tess Gerritsen,Boston (Mass.),2005.0,4.14
3575,Light,M. John Harrison,Fiction,2004.0,
3576,The Last of the Mohicans,James Fenimore Cooper,Fiction,2005.0,
3577,THE GOON SHOW,VÁRIOS AUTORES,,2005.0,4.5
3578,Doctor Who,Gary Russell,Performing Arts,2006.0,4.21
3579,Terry Jones' Medieval Lives,Terry Jones;Alan Ereira,History,2005.0,4.02
3580,Colossians and Philemon,Robert McL Wilson,Religion,2005.0,5.0
3581,Lord of the Flies,William Golding,Airplane crash survival,1954.0,3.67
3582,Death of a Naturalist,Seamus Heaney,Poetry,1969.0,4.29
3583,The Real Thing,Tom Stoppard,Drama,1984.0,3.94
3584,"New Selected Poems of Seamus Heaney, 1966-1987",Seamus Heaney,,2002.0,4.19
3585,Immortality,Milan Kundera,Czech fiction,1992.0,4.13
3586,The Complete Herbal Handbook for the Dog and Cat,Juliette de Baïracli Levy,Pets,1991.0,4.29
3587,The White Castle,Orhan Pamuk,Civil law,1990.0,3.45
3588,Even Cowgirls Get the Blues ; My Own Private Idaho,Gus Van Sant,Hitchhiking,1993.0,3.79
3589,Lawrence Durrell,Ian S. MacNiven,Biography & Autobiography,1998.0,4.04
3590,The Last Temptation,Nikos Kazantzakis,Fiction,2000.0,4.16
3591,Tales from Ovid,Ovid;Ted Hughes,Latin poetry,1997.0,4.23
3592,View with a Grain of Sand,Wisława Szymborska,Polish poetry,1996.0,4.33
3593,The New Life,Orhan Pamuk,Bus travel,1998.0,3.55
3594,Tom Stoppard: Plays 5,Tom Stoppard,Drama,1999.0,4.3
3595,Garden State,Rick Moody,Teenagers,2002.0,3.07
3596,Beowulf,Seamus Heaney,Beowulf,1999.0,3.43
3597,Letters Home,Sylvia Plath,"Authors, American",1999.0,4.2
3598,The Poisonwood Bible,Barbara Kingsolver,Americans,2000.0,4.05
3599,"Girl, Interrupted",James Mangold;Lisa Loomer;Anna Hamilton Phelan,Performing Arts,2000.0,3.97
3600,Gilliam on Gilliam,Terry Gilliam;Ian Christie,Performing Arts,1999.0,4.1
3601,The Music of Chance,Paul Auster,Gambling,2000.0,3.9
3602,My Century,Günter Grass,"History, Modern",2000.0,3.45
3603,Taxi Driver,Paul Schrader,Performing Arts,2000.0,4.11
3604,"The Journals of Sylvia Plath, 1950-1962",Sylvia Plath,"Poets, American",2001.0,4.31
3605,Laughable Loves,Milan Kundera,Czech Republic,1999.0,3.87
3606,Herzog on Herzog,Paul Cronin,Performing Arts,2003.0,4.44
3607,Collected Children's Stories,Sylvia Plath,"Children's poetry, American",2001.0,4.22
3608,The Wars,Timothy Findley,Fiction,2001.0,3.87
3609,Famous Last Words,Timothy Findley,Prisoners of war,2001.0,3.99
3610,Finders Keepers,Seamus Heaney,Englisch - Geschichte - Lyrik - Aufsatzsammlung,2003.0,4.15
3611,Fat Pig,Neil LaBute,Drama,2004.0,3.56
3612,A Beautiful Mind,Sylvia Nasar,Mathematicians,2001.0,4.13
3613,The Greek Islands,Lawrence Durrell,Biography & Autobiography,2002.0,3.9
3614,Vernon God Little,D. B. C. Pierre,Black humor (Literature),2004.0,3.59
3615,Finnegans Wake,James Joyce,Dreams,1975.0,3.67
3616,Tales From Firozsha Baag (Ji),Rohinton Mistry,Apartment houses,2002.0,3.93
3617,The Kid Stays in the Picture,Robert Evans,Motion picture actors and actresses,2004.0,3.91
3618,The Moth Diaries,Rachel Klein,Boarding schools,2005.0,3.49
3619,The Unbearable Lightness of Being,Milan Kundera,Adultery,2004.0,4.09
3620,A Pale View of Hills,Kazuo Ishiguro,Fiction,2005.0,3.73
3621,The Unconsoled,Kazuo Ishiguro,Fiction,2005.0,3.53
3622,The Avignon Quintet,Lawrence Durrell,"Short stories, English",2004.0,4.09
3623,City of Glass,Paul Auster;Paul Karasik;David Mazzucchelli,City and town life,2005.0,3.92
3624,Breakfast of Champions,,Science fiction,1984.0,4.0
3625,Medea,Robinson Jeffers,Greek drama (Tragedy),1976.0,4.2
3626,Eric,Terry Pratchett,Fantasy fiction,1990.0,3.75
3627,Soul Music,Terry Pratchett,Discworld (Imaginary place),1999.0,4.04
3628,The Last Hero,Terry Pratchett,Discworld (Imaginary place),2001.0,4.17
3629,The Man in the High Castle,Philip K. Dick,Alternative histories (Fiction),2001.0,3.63
3630,Worlds,Joe Haldeman,Fiction,2002.0,3.51
3631,Dark Lord of Derkholm,Diana Wynne Jones,Fantasy fiction,2003.0,4.12
3632,Replay,Ken Grimwood,Fantasy,2005.0,4.16
3633,Grendel,John Gardner,Beowulf,2004.0,3.69
3634,The Hyperion Omnibus,Dan Simmons,Fiction,2004.0,4.42
3635,A Scanner Darkly,Philip K. Dick,Detective and mystery stories,2006.0,4.02
3636,Dark Visions,Stephen King;George R. R. Martin;Dan Simmons,"Horror tales, American",2000.0,3.89
3637,A Sudden Wild Magic,Diana Wynne Jones,,1997.0,3.76
3638,The Body,Stephen King;Robin Waterfield,Friendship in adolescence,1999.0,4.26
3639,The Firm,John Grisham,Fiction,1999.0,4.0
3640,Of Mice and Men,John Steinbeck;Susan Shillinglaw,Cowboys,2000.0,3.86
3641,The Caves of Steel,Isaac Asimov,Fiction,1993.0,4.16
3642,Banco,Henri Charrière,Biography & Autobiography,1973.0,3.73
3643,A Darkness at Sethanon,Raymond E. Feist,English fiction,1987.0,4.19
3644,Faerie Tale,Raymond E. Feist,Fairy tales,1989.0,3.87
3645,2061,Arthur C. Clarke,Computers,1997.0,3.55
3646,Mistress of the Empire,Raymond E. Feist;Janny Wurts,English fiction,1997.0,4.31
3647,Servant of the Empire,Raymond E. Feist;Janny Wurts,Fantasy,1990.0,4.29
3648,The Master of Whitestorm,Janny Wurts,Fantasy fiction,1992.0,3.91
3649,The Curse of the Mistwraith,Janny Wurts,Fiction,2004.0,3.76
3650,Magician,Raymond E. Feist,Adventure stories,1993.0,4.33
3651,The witches,Roald Dahl,Juvenile Nonfiction,1997.0,4.17
3652,Common Ground,Molly Bang,Juvenile Nonfiction,1997.0,3.75
3653,Expository Writing,Tara McCarthy,Juvenile Nonfiction,1998.0,4.33
3654,Scary stories 3,Alvin Schwartz,Folklore,1991.0,4.21
3655,Descriptive Writing,Tara McCarthy,Language Arts & Disciplines,1998.0,
3656,Persuasive Writing,Tara McCarthy,Juvenile Nonfiction,1998.0,3.2
3657,P.S. Longer Letter Later,Paula Danziger,Friendship,1999.0,3.77
3658,How Much is that Guinea Pig in the Window?,Joanne Rocklin,Contests,1995.0,4.12
3659,"The lion, the witch and the wardrobe",Clive Staples Lewis,Fantasy,1995.0,4.21
3660,Something Fishy at Macdonald Hall,Gordon Korman,Juvenile Fiction,2000.0,4.04
3661,Run,William Sleator,Detective and mystery stories,1973.0,3.07
3662,Blind Flight,Hilary Milton,Blind,1982.0,3.71
3663,Trapped!,Arthur Roth,Survival,1983.0,3.71
3664,The Trolley Car Family,Eleanor Clymer,Family life,1987.0,4.14
3665,Mrs. Piggle-Wiggle's farm,Betty MacDonald,Behavior,1987.0,4.16
3666,Radio Fifth Grade,Gordon Korman,Juvenile Fiction,1991.0,3.55
3667,Avalanche,Arthur Roth,Adult education,1989.0,3.65
3668,Drina Dances Again,Jean Estoril,Acting,1989.0,4.1
3669,Blubberina,Jahnna N. Malcolm,Ballet,1989.0,3.4
3670,The Littles and the Lost Children,John Peterson,Juvenile Fiction,1991.0,3.75
3671,Vampires Don't Wear Polka Dots,Debbie Dadey;Marcia Thornton Jones,Juvenile Fiction,1990.0,3.8
3672,Werewolves Don't Go to Summer Camp,Debbie Dadey;Marcia Thornton Jones,Juvenile Fiction,1991.0,3.83
